"","do.call.rbind..nnpark..1...","do.call.rbind..nnpark..2..."
"929",45,4199248.66649462
"930",45,4199248.66652795
"931",45,4199248.66655764
"932",45,4199248.66659747
"933",45,4199248.66644134
"934",45,4199248.6666289
"935",45,4199248.66647047
"936",45,4199248.66667113
"937",45,4199248.66676976
"938",45,4199248.6668012
"939",45,4199248.66664291
"940",45,4199248.6668304
"941",45,4199248.66667642
"942",45,4199248.66686532
"943",45,4199248.66670904
"944",45,4199248.66689735
"945",45,4199248.66677374
"946",45,4199248.66695773
"947",45,4199248.66681139
"948",45,4199248.66688828
"949",45,4199248.66695465
"950",45,4199248.66697911
"951",45,4199248.66701065
"952",45,4199248.66704449
"953",45,4199248.66708257
"954",45,4199248.66711359
"955",45,4199248.66525202
"956",45,4199248.66525576
"957",45,4199248.66526264
"958",45,4199248.66526811
"959",45,4199248.66527398
"960",45,4199248.66527995
"961",45,4199248.66528542
"962",45,4199248.6652918
"963",45,4199248.66529601
"964",45,4199248.6653004
"965",45,4199248.66530587
"966",45,4199248.66531042
"967",45,4199248.66531498
"968",45,4199248.66532045
"969",45,4199248.6653255
"970",45,4199248.66533046
"971",45,4199248.66588687
"972",45,4199248.66533677
"973",45,4199248.66534191
"974",45,4199248.66534697
"975",45,4199248.66535244
"976",45,4199248.6653583
"977",45,4199248.66536427
"978",45,4199248.66536974
"979",45,4199248.66537611
"980",45,4199248.66538051
"981",45,4199248.66538564
"982",45,4199248.66539252
"983",45,4199248.66539799
"984",45,4199248.66540386
"985",45,4199248.66540983
"986",45,4199248.6654153
"987",45,4199248.66542168
"988",45,4199248.66557435
"989",45,4199248.66560656
"990",45,4199248.6659171
"991",45,4199248.66595265
"992",45,4199248.66646556
"993",45,4199248.66649721
"994",45,4199248.66652455
"995",45,4199248.66655735
"996",45,4199248.66659379
"997",45,4199248.66662171
"998",45,4199248.66658007
"999",45,4199248.66672004
"1000",45,4199248.66661549
"1001",45,4199248.66665758
"1002",45,4199248.66676253
"1003",45,4199248.66671151
"1004",45,4199248.66679766
"1005",45,4199248.66674829
"1006",45,4199248.6668312
"1007",45,4199248.66678681
"1008",45,4199248.66686915
"1009",45,4199248.66690634
"1010",45,4199248.66694047
"1011",45,4199248.66689125
"1012",45,4199248.66692461
"1013",45,4199248.66695563
"1014",45,4199248.66699802
"1015",45,4199248.6670332
"1016",45,4199248.66707027
"1017",45,4199248.66759936
"1018",45,4199248.66760501
"1019",45,4199248.66761198
"1020",45,4199248.6676168
"1021",45,4199248.66762244
"1022",45,4199248.66762808
"1023",45,4199248.66748258
"1024",45,4199248.66763388
"1025",45,4199248.66751394
"1026",45,4199248.66763927
"1027",45,4199248.66764598
"1028",45,4199248.66765105
"1029",45,4199248.66765611
"1030",45,4199248.66760589
"1031",45,4199248.66766284
"1032",45,4199248.66763621
"1033",45,4199248.66779341
"1034",45,4199248.66767255
"1035",45,4199248.66783015
"1036",45,4199248.66770938
"1037",45,4199248.66786782
"1038",45,4199248.66774514
"1039",45,4199248.66778155
"1040",45,4199248.66793038
"1041",45,4199248.66781657
"1042",45,4199248.6679614
"1043",45,4199248.66799632
"1044",45,4199248.6681284
"1045",45,4199248.66815992
"1046",45,4199248.66819111
"1047",45,4199248.66821442
"1048",45,4199248.66824246
"1049",45,4199248.66867459
"1050",45,4199248.66870948
"1051",45,4199248.66873708
"1052",45,4199248.66877087
"1053",45,4199248.668806
"1054",45,4199248.66884445
